name,englishName,scientificName,categoryName,subcategoryName,origin,difficulty,tempMin,tempMax,phMin,phMax,description,careTip,environment,husbandry_features,notes,localImagePath,size,lifespan,diet,compatibility
草金鱼,Common Goldfish,Carassius auratus,冷水/国粹,金鱼,中国,easy,4,30,7,8,最原始金鱼，游速快，体质强健。,适合大缸或池养，跳缸高手。,喜欢宽阔的静水环境，水体含氧量需较高。底砂宜选用圆润的鹅卵石，避免尖锐造景划伤鱼体。光照适中，利于发色。,食欲旺盛，排泄量大，需要强大的物理过滤系统。喂食应遵循'少食多餐'原则，避免投喂过多导致消化不良或坏水。换水频率需根据密度调整。,金鱼没有胃，不知饱足，切忌喂撑。对水温剧烈变化敏感，换水时务必注意温差（控制在2℃以内）。容易患鱼鳔失调症，尽量投喂沉底饲料。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_001_carassius.jpg,15-30,10-15,杂食,同类
兰寿,Ranchu,Carassius auratus var.,冷水/国粹,金鱼,日本,medium,15,25,7,8,无背鳍，头部肉瘤发达。,水位浅，水流静，少食多餐。,喜欢宽阔的静水环境，水体含氧量需较高。底砂宜选用圆润的鹅卵石，避免尖锐造景划伤鱼体。光照适中，利于发色。,食欲旺盛，排泄量大，需要强大的物理过滤系统。喂食应遵循'少食多餐'原则，避免投喂过多导致消化不良或坏水。换水频率需根据密度调整。,金鱼没有胃，不知饱足，切忌喂撑。对水温剧烈变化敏感，换水时务必注意温差（控制在2℃以内）。容易患鱼鳔失调症，尽量投喂沉底饲料。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_002_carassius.jpg,12-20,10-15,杂食,同类
泰狮,Thai Oranda,Carassius auratus var.,冷水/国粹,金鱼,泰国,medium,18,26,7,8,尾鳍宽大飘逸，侧视极佳。,需深水位，保持水质清洁。,喜欢宽阔的静水环境，水体含氧量需较高。底砂宜选用圆润的鹅卵石，避免尖锐造景划伤鱼体。光照适中，利于发色。,食欲旺盛，排泄量大，需要强大的物理过滤系统。喂食应遵循'少食多餐'原则，避免投喂过多导致消化不良或坏水。换水频率需根据密度调整。,金鱼没有胃，不知饱足，切忌喂撑。对水温剧烈变化敏感，换水时务必注意温差（控制在2℃以内）。容易患鱼鳔失调症，尽量投喂沉底饲料。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_baidu_泰狮_carassius.jpg,15-25,10-15,杂食,同类
琉金,Ryukin,Carassius auratus var.,冷水/国粹,金鱼,中日,medium,15,25,7,8,背部高耸，身体短圆。,易失鳔，喂食需谨慎。,喜欢宽阔的静水环境，水体含氧量需较高。底砂宜选用圆润的鹅卵石，避免尖锐造景划伤鱼体。光照适中，利于发色。,食欲旺盛，排泄量大，需要强大的物理过滤系统。喂食应遵循'少食多餐'原则，避免投喂过多导致消化不良或坏水。换水频率需根据密度调整。,金鱼没有胃，不知饱足，切忌喂撑。对水温剧烈变化敏感，换水时务必注意温差（控制在2℃以内）。容易患鱼鳔失调症，尽量投喂沉底饲料。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_004_carassius.jpg,12-18,10-15,杂食,同类
蝶尾,Butterfly Telescope,Carassius auratus var.,冷水/国粹,金鱼,中国,medium,15,25,7,8,尾鳍如蝶，俯视观赏。,避开尖锐造景，防挂伤。,喜欢宽阔的静水环境，水体含氧量需较高。底砂宜选用圆润的鹅卵石，避免尖锐造景划伤鱼体。光照适中，利于发色。,食欲旺盛，排泄量大，需要强大的物理过滤系统。喂食应遵循'少食多餐'原则，避免投喂过多导致消化不良或坏水。换水频率需根据密度调整。,金鱼没有胃，不知饱足，切忌喂撑。对水温剧烈变化敏感，换水时务必注意温差（控制在2℃以内）。容易患鱼鳔失调症，尽量投喂沉底饲料。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_005_carassius.jpg,12-18,8-12,杂食,同类
珍珠鳞,Pearlscale,Carassius auratus var.,冷水/国粹,金鱼,中国,hard,18,25,7,8,鳞片如珍珠，体如球。,肠胃弱，温差需小。,喜欢宽阔的静水环境，水体含氧量需较高。底砂宜选用圆润的鹅卵石，避免尖锐造景划伤鱼体。光照适中，利于发色。,食欲旺盛，排泄量大，需要强大的物理过滤系统。喂食应遵循'少食多餐'原则，避免投喂过多导致消化不良或坏水。换水频率需根据密度调整。,金鱼没有胃，不知饱足，切忌喂撑。对水温剧烈变化敏感，换水时务必注意温差（控制在2℃以内）。容易患鱼鳔失调症，尽量投喂沉底饲料。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_006_carassius.jpg,10-15,5-10,杂食,同类
水泡眼,Bubble Eye,Carassius auratus var.,冷水/国粹,金鱼,中国,hard,15,25,7,8,眼下有巨大水泡。,绝对避免尖锐物，甚至过滤口也要包。,喜欢宽阔的静水环境，水体含氧量需较高。底砂宜选用圆润的鹅卵石，避免尖锐造景划伤鱼体。光照适中，利于发色。,食欲旺盛，排泄量大，需要强大的物理过滤系统。喂食应遵循'少食多餐'原则，避免投喂过多导致消化不良或坏水。换水频率需根据密度调整。,金鱼没有胃，不知饱足，切忌喂撑。对水温剧烈变化敏感，换水时务必注意温差（控制在2℃以内）。容易患鱼鳔失调症，尽量投喂沉底饲料。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_007_carassius.jpg,10-15,5-10,杂食,同类单养
丹顶红帽,Red Cap Oranda,Carassius auratus var.,冷水/国粹,金鱼,中国,medium,15,25,7,8,通体白，头顶红肉瘤。,寓意鸿运当头，受人喜爱。,喜欢宽阔的静水环境，水体含氧量需较高。底砂宜选用圆润的鹅卵石，避免尖锐造景划伤鱼体。光照适中，利于发色。,食欲旺盛，排泄量大，需要强大的物理过滤系统。喂食应遵循'少食多餐'原则，避免投喂过多导致消化不良或坏水。换水频率需根据密度调整。,金鱼没有胃，不知饱足，切忌喂撑。对水温剧烈变化敏感，换水时务必注意温差（控制在2℃以内）。容易患鱼鳔失调症，尽量投喂沉底饲料。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_008_carassius.jpg,12-18,10-15,杂食,同类
黑兰寿,Black Ranchu,Carassius auratus var.,冷水/国粹,金鱼,日本,medium,15,25,7,8,通体漆黑的兰寿。,黑色素不稳定，需深色背景保色。,喜欢宽阔的静水环境，水体含氧量需较高。底砂宜选用圆润的鹅卵石，避免尖锐造景划伤鱼体。光照适中，利于发色。,食欲旺盛，排泄量大，需要强大的物理过滤系统。喂食应遵循'少食多餐'原则，避免投喂过多导致消化不良或坏水。换水频率需根据密度调整。,金鱼没有胃，不知饱足，切忌喂撑。对水温剧烈变化敏感，换水时务必注意温差（控制在2℃以内）。容易患鱼鳔失调症，尽量投喂沉底饲料。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_009_carassius.jpg,12-20,10-15,杂食,同类
土佐金,Tosakin,Carassius auratus var.,冷水/国粹,金鱼,日本,hard,15,25,7,8,尾鳍反转卷曲，宛如盛开花朵。,静水浅盆饲养，极难照顾。,喜欢宽阔的静水环境，水体含氧量需较高。底砂宜选用圆润的鹅卵石，避免尖锐造景划伤鱼体。光照适中，利于发色。,食欲旺盛，排泄量大，需要强大的物理过滤系统。喂食应遵循'少食多餐'原则，避免投喂过多导致消化不良或坏水。换水频率需根据密度调整。,金鱼没有胃，不知饱足，切忌喂撑。对水温剧烈变化敏感，换水时务必注意温差（控制在2℃以内）。容易患鱼鳔失调症，尽量投喂沉底饲料。,/Users/wanshuiwanqigaozhishang/Downloads/MINIAPP/images/fish_baidu_土佐金_carassius.jpg,12-18,5-10,杂食,同类单养
